;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
81;2021-05-08;W;1;1;Home;1;30.0;25.4;3-5-2;4.0;13.1;70.3;8.0;12.0;61.31999999999999;6;5;3-5-2;Fiorentina;reste;9.0;0;4;0;322;0;0;2021-05;3
82;2021-05-12;D;0;1;Away;0;44.0;25.4;3-5-2;0.0;16.4;79.1;8.0;10.0;191.27;4;5;4-5-1;Fiorentina;reste;2.0;0;2;0;327;0;0;2021-05;3
83;2021-05-16;L;0;0;Home;1;41.0;25.4;3-5-2;3.0;15.4;80.1;5.0;15.0;-151.43;4;5;4-5-1;Fiorentina;reste;7.0;0;5;1;327;0;1;2021-05;3
84;2020-09-20;W;1;1;Home;1;66.0;25.0;3-5-2;8.0;17.3;88.7;16.0;15.0;513.95;10;9;4-5-1;Juventus;automne;20.0;0;1;0;327;0;0;2020-09;3
85;2020-09-27;D;0;1;Away;0;60.0;25.0;4-4-2;2.0;16.9;86.6;13.0;9.0;261.25;7;9;3-4-3;Juventus;automne;7.0;1;3;1;155;1;1;2020-09;4
86;2020-11-01;W;1;1;Away;0;56.0;25.0;4-4-2;3.0;13.9;86.8;16.0;7.0;564.0;4;11;4-3-3;Juventus;automne;6.0;1;1;0;207;1;0;2020-11;4
87;2020-11-08;D;0;1;Away;0;46.0;25.0;4-4-2;5.0;19.3;87.1;15.0;11.0;378.02;4;11;3-5-2;Juventus;automne;11.0;0;2;0;322;0;0;2020-11;4
88;2020-11-21;W;1;1;Home;1;66.0;25.0;4-4-2;6.0;15.7;89.8;11.0;11.0;507.97;13;11;3-4-3;Juventus;automne;24.0;0;3;0;155;0;0;2020-11;4
89;2020-12-05;W;1;1;Home;1;65.0;25.0;4-4-2;4.0;19.2;82.8;9.0;17.0;419.1;3;12;3-5-2;Juventus;reste;17.0;0;3;1;322;0;1;2020-12;4
90;2020-12-13;W;1;1;Away;0;69.0;25.0;3-5-2;8.0;16.3;85.1;21.0;14.0;521.22;5;12;4-4-2;Juventus;reste;16.0;2;3;0;162;1;0;2020-12;3
91;2020-12-16;D;0;1;Home;1;54.0;25.0;4-4-2;6.0;16.5;85.0;23.0;14.0;243.75;3;12;3-5-2;Juventus;reste;11.0;0;3;0;322;0;0;2020-12;4
92;2020-12-22;L;0;0;Home;1;54.0;25.0;3-5-2;3.0;22.7;86.6;7.0;9.0;316.7;3;12;3-5-2;Juventus;reste;13.0;0;1;1;322;0;1;2020-12;3
93;2021-01-03;W;1;1;Home;1;63.0;25.0;4-4-2;10.0;18.5;89.7;12.0;14.0;500.2;12;1;3-5-2;Juventus;reste;20.0;0;3;0;322;0;0;2021-01;4
94;2021-01-06;W;1;1;Away;0;57.0;25.0;4-4-2;6.0;15.2;85.8;6.0;11.0;95.54999999999997;3;1;4-5-1;Juventus;reste;14.0;0;2;0;327;0;0;2021-01;4
95;2021-01-10;W;1;1;Home;1;55.0;25.0;4-4-2;8.0;17.0;90.0;11.0;11.0;391.5;4;1;4-5-1;Juventus;reste;23.0;0;4;0;327;0;0;2021-01;4
96;2021-01-24;W;1;1;Home;1;53.0;25.0;4-4-2;11.0;17.8;84.6;11.0;11.0;456.3;4;1;4-5-1;Juventus;reste;23.0;0;3;0;327;0;0;2021-01;4
97;2021-01-30;W;1;1;Away;0;61.0;25.0;4-4-2;3.0;19.8;88.7;19.0;10.0;513.95;3;1;4-4-2;Juventus;reste;9.0;0;2;0;162;0;0;2021-01;4
98;2021-02-06;W;1;1;Home;1;48.0;25.0;4-4-2;2.0;14.7;84.8;8.0;9.0;261.25;4;2;3-4-3;Juventus;reste;3.0;0;2;0;155;0;0;2021-02;4
99;2021-02-13;L;0;0;Away;0;62.0;25.0;4-4-2;6.0;17.3;85.1;13.0;18.0;165.26999999999995;4;2;4-5-1;Juventus;reste;24.0;0;3;0;327;0;0;2021-02;4
100;2021-03-02;W;1;1;Home;1;47.0;25.0;4-4-2;7.0;14.6;81.0;10.0;14.0;564.0;3;3;4-3-3;Juventus;reste;18.0;0;2;0;207;0;0;2021-03;4
101;2021-03-06;W;1;1;Home;1;52.0;25.0;4-5-1;4.0;18.8;84.4;22.0;10.0;378.02;4;3;3-5-2;Juventus;reste;6.0;1;0;0;322;1;0;2021-03;4
102;2021-03-14;W;1;1;Away;0;49.0;25.0;4-4-2;5.0;12.9;84.7;13.0;16.0;507.97;5;3;3-5-2;Juventus;reste;9.0;1;2;0;322;1;0;2021-03;4
103;2021-04-03;D;0;1;Away;0;70.0;25.0;4-4-2;8.0;15.8;87.6;8.0;15.0;419.1;13;4;3-5-2;Juventus;reste;22.0;0;2;0;322;0;0;2021-04;4
104;2021-04-07;W;1;1;Home;1;47.0;25.0;4-4-2;3.0;14.2;87.2;12.0;17.0;165.26999999999995;4;4;4-5-1;Juventus;reste;12.0;0;1;0;327;0;0;2021-04;4
