;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
70;2021-01-16;W;1;1;Home;1;48.0;24,1;4-5-1;4.0;17.1;72.2;14.0;15.0;-3.6100000000000136;7;1;3-4-3;Bologna;reste;19.0;1;2;0;1.0;8.0;1.0;10.0;Hellas-Verona;345.116;478.0
71;2021-01-24;L;0;0;Away;0;47.0;24,1;4-5-1;2.0;19.3;83.4;11.0;17.0;-479.69999999999993;8;1;4-4-2;Bologna;reste;11.0;0;2;0;3.0;23.0;1.0;11.0;Juventus;387.81;465.0
72;2021-01-30;L;0;0;Home;1;49.0;24,1;4-5-1;5.0;19.7;76.9;7.0;13.0;-394.17999999999995;6;1;4-5-1;Bologna;reste;11.0;0;2;0;1.0;13.0;1.0;12.0;Milan;362.968;472.0
73;2021-02-07;W;1;1;Away;0;42.0;24,1;4-5-1;5.0;20.8;78.0;19.0;13.0;24.900000000000006;8;2;3-4-3;Bologna;reste;15.0;0;1;0;2.0;15.0;1.0;13.0;Parma;347.88;446.0
74;2021-02-12;D;0;1;Home;1;58.0;24,1;4-5-1;2.0;18.8;80.3;11.0;17.0;103.47;5;2;4-5-1;Bologna;reste;12.0;0;3;0;2.0;14.0;0.0;10.0;Benevento;440.847;549.0
75;2021-02-20;D;0;1;Away;0;27.0;24,1;4-5-1;2.0;24.5;64.3;17.0;8.0;-88.14000000000001;8;2;4-5-1;Bologna;reste;5.0;0;0;1;1.0;30.0;1.0;14.0;Sassuolo;163.965;255.0
76;2021-02-27;W;1;1;Home;1;40.0;24,1;4-5-1;6.0;20.1;73.9;10.0;9.0;-172.73;7;2;3-5-2;Bologna;reste;11.0;0;1;0;2.0;19.0;1.0;18.0;Lazio;294.86100000000005;399.0
77;2021-03-03;L;0;0;Away;0;63.0;24,1;4-5-1;5.0;15.5;82.8;6.0;18.0;-34.23000000000002;4;3;3-5-2;Bologna;reste;13.0;0;2;0;2.0;11.0;0.0;16.0;Cagliari;481.89599999999996;582.0
78;2021-03-07;L;0;0;Away;0;57.0;24,1;4-5-1;4.0;22.0;77.6;6.0;14.0;-376.6;4;3;4-5-1;Bologna;reste;16.0;0;0;0;2.0;14.0;0.0;12.0;Napoli;453.18399999999997;584.0
79;2021-03-14;W;1;1;Home;1;44.0;24,1;4-5-1;6.0;16.6;76.6;15.0;16.0;26.419999999999987;7;3;4-5-1;Bologna;reste;10.0;0;2;0;2.0;18.0;1.0;11.0;Sampdoria;327.082;427.0
80;2021-03-20;W;1;1;Away;0;51.0;24,1;4-5-1;9.0;15.3;74.9;12.0;16.0;100.85;6;3;3-5-2;Bologna;reste;21.0;0;7;0;4.0;16.0;2.0;11.0;Crotone;325.06600000000003;434.0
