;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
96;2021-09-22;W;1;1;Away;0;50.0;24.5;4-4-2;5.0;21.6;78.0;9.0;13.0;-8.030000000000001;3;9;3-5-2;Empoli;automne;17.0;0;1;0;2.0;15.0;0.0;15.0;Cagliari;383.76;492.0
97;2021-09-26;W;1;1;Home;1;37.0;24.5;4-4-2;6.0;17.2;73.3;11.0;15.0;-59.69999999999999;4;9;4-5-1;Empoli;automne;14.0;1;2;0;2.0;19.0;0.0;22.0;Bologna;225.03099999999998;307.0
98;2021-10-03;L;0;0;Away;0;37.0;24.5;4-4-2;3.0;19.2;80.2;8.0;15.0;-254.75;7;10;4-5-1;Empoli;automne;11.0;0;3;0;2.0;18.0;2.0;11.0;Roma;303.156;378.0
99;2021-10-17;L;0;0;Home;1;48.0;24.5;4-3-3;4.0;19.2;75.6;14.0;10.0;-272.25;14;10;3-5-2;Empoli;automne;12.0;0;3;0;2.0;21.0;0.0;16.0;Atalanta;353.80799999999994;468.0
100;2021-10-23;W;1;1;Away;0;40.0;24.5;4-4-2;4.0;16.7;74.4;16.0;16.0;55.94;6;10;3-5-2;Empoli;automne;9.0;1;3;0;1.0;12.0;0.0;12.0;Salernitana;258.91200000000003;348.0
101;2021-10-27;L;0;0;Home;1;31.0;24.5;4-4-2;2.0;18.0;74.8;6.0;20.0;-432.04999999999995;4;10;3-5-2;Empoli;automne;9.0;0;1;1;3.0;21.0;0.0;15.0;Internazionale;234.872;314.0
102;2021-10-31;W;1;1;Away;0;43.0;24.5;4-4-2;4.0;19.3;77.8;11.0;12.0;-124.5;4;10;4-3-3;Empoli;automne;13.0;1;2;0;4.0;15.0;0.0;16.0;Sassuolo;315.868;406.0
103;2021-11-05;D;0;1;Home;1;53.0;24.5;4-4-2;2.0;17.5;73.1;8.0;8.0;5.219999999999999;5;11;3-5-2;Empoli;automne;10.0;0;0;0;4.0;14.0;1.0;21.0;Genoa;342.83899999999994;469.0
104;2021-11-22;L;0;0;Away;0;43.0;24.5;4-4-2;4.0;17.7;66.3;10.0;13.0;-36.47999999999999;17;11;3-4-3;Empoli;automne;9.0;0;3;0;1.0;22.0;1.0;7.0;Hellas-Verona;265.863;401.0
105;2021-11-27;W;1;1;Home;1;51.0;24.5;4-4-2;5.0;17.7;77.7;16.0;15.0;-199.3;5;11;4-3-3;Empoli;automne;17.0;0;1;0;1.0;16.0;1.0;10.0;Fiorentina;369.85200000000003;476.0
