Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Karol Linetty,MF,Torino,25,20.4,7,3,42.9,d023d70f
Pol Lirola,DFFW,Fiorentina,22,5.5,2,0,0.0,ff800ed8
Fernando Llorente,FW,Udinese,35,7.9,11,5,45.5,82dbf623
Fernando Llorente,FWMF,Napoli,35,0.6,2,0,0.0,82dbf623
Stanislav Lobotka,MF,Napoli,25,1.7,0,0,,e1cbb531
Manuel Locatelli,MF,Sassuolo,22,32.0,39,7,17.9,a8a874f1
Maxime Lopez,MF,Sassuolo,22,20.7,10,4,40.0,20094685
Pau López,GK,Roma,25,20.2,0,0,,20b9f052
Matteo Lovato,DF,Hellas Verona,20,15.4,1,0,0.0,5fa57166
Hirving Lozano,FW,Napoli,25,21.8,59,27,45.8,a69e4806
José Luis Palomino,DF,Atalanta,30,27.0,4,1,25.0,921f6058
Romelu Lukaku,FW,Inter,27,32.0,90,42,46.7,5eae500a
Saša Lukić,MF,Torino,23,23.4,19,7,36.8,c6e8cf1f
Senad Lulić,DF,Lazio,34,8.0,6,3,50.0,7fd58fe3
Sebastiano Luperto,DF,Crotone,23,20.9,5,1,20.0,997fff07
Lyanco,DF,Torino,23,21.8,12,3,25.0,b5bf1770
Charalambos Lykogiannis,DF,Cagliari,26,26.9,28,7,25.0,5efc5389
Lisandro Magallán,DF,Crotone,26,24.2,8,2,25.0,01a49bd2
Christian Maggio,DF,Benevento,38,3.3,2,0,0.0,31d7f557
Giulio Maggiore,MF,Spezia,22,24.6,38,14,36.8,957e4c87
Francesco Magnanelli,MF,Sassuolo,35,4.9,2,0,0.0,07767f42
Giangiacomo Magnani,DF,Hellas Verona,24,16.8,13,2,15.4,cce9f582
Jean-Victor Makengo,MF,Udinese,22,5.8,4,0,0.0,22bfb57e
Nikola Maksimović,DF,Napoli,28,13.4,5,1,20.0,16b9d5cf
Kévin Malcuit,DF,Fiorentina,29,2.3,2,0,0.0,d6a889ea
Kévin Malcuit,FWMF,Napoli,29,0.4,0,0,,d6a889ea
Daniel Maldini,FWDF,Milan,18,0.3,1,1,100.0,801831fe
Ruslan Malinovskyi,MFFW,Atalanta,27,20.8,66,20,30.3,48d5bd33
