Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
André Gomes,MF,Everton,28,3,0,0,24,8,0,6,1,4,0,0,0,53,8,9,47.1,1961b2aa
Toti Gomes,DF,Wolves,22,1,0,0,2,3,1,1,8,7,0,0,0,17,13,10,56.5,f0caab96
Joe Gomez,DF,Liverpool,24,2,0,0,5,2,0,19,5,6,0,0,0,19,10,6,62.5,7a11550b
Charlie Goode,DF,Brentford,25,3,0,0,5,7,0,6,2,5,0,1,0,30,15,8,65.2,7aee4dd3
Anthony Gordon,MFFW,Everton,20,4,0,0,25,64,8,119,22,32,2,0,0,116,17,38,30.9,2bd83368
Kaide Gordon,FW,Liverpool,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,19a9cb70
Dan Gosling,MF,Watford,31,0,0,0,2,5,0,1,0,1,0,0,0,14,5,4,55.6,7fec31a0
Demarai Gray,MFFW,Everton,25,3,0,0,12,32,3,129,15,19,0,0,0,100,4,31,11.4,4468ec10
Jack Grealish,FW,Manchester City,25,3,0,0,17,55,5,32,8,17,0,0,0,63,14,28,33.3,b0b4fd3e
Mason Greenwood,FWMF,Manchester Utd,19,1,0,0,15,16,3,34,1,9,0,0,0,55,4,8,33.3,58eee997
Sam Greenwood,MFFW,Leeds United,19,0,0,0,7,2,2,6,2,5,0,0,0,14,2,3,40.0,f3354c07
Pascal Groß,MFDF,Brighton,30,1,0,0,15,6,4,189,18,15,0,0,0,119,15,21,41.7,8aec0537
Vicente Guaita,GK,Crystal Palace,34,2,0,0,1,2,0,0,1,0,0,1,0,22,8,1,88.9,ab13a5aa
Marc Guéhi,DF,Crystal Palace,21,4,0,0,14,34,0,3,30,17,0,1,0,192,68,54,55.7,d0706b27
Bruno Guimarães,MF,Newcastle Utd,23,4,0,0,13,36,4,12,9,23,0,0,0,81,4,9,30.8,82518f62
İlkay Gündoğan,MF,Manchester City,30,1,0,0,13,10,2,67,15,9,0,0,0,110,11,12,47.8,819b3158
Angus Gunn,GK,Norwich City,25,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,66.7,e082af5b
Grant Hanley,DF,Norwich City,29,2,0,0,22,22,2,0,56,25,0,0,0,121,102,33,75.6,e9254eec
Jack Harrison,FWMF,Leeds United,24,3,0,0,29,23,4,142,21,37,0,0,0,170,19,54,26.0,aa849a12
Kortney Hause,DF,Aston Villa,26,0,0,0,6,2,1,0,6,3,0,1,0,41,20,8,71.4,bf8fad51
Kai Havertz,FWMF,Chelsea,22,3,0,0,40,25,12,8,4,8,1,0,0,62,38,52,42.2,fed7cb61
Isaac Hayden,MFDF,Newcastle Utd,26,5,0,0,14,8,0,8,14,14,0,0,0,46,19,15,55.9,c951a6df
Hwang Hee-chan,FWMF,Wolves,25,2,0,0,29,42,3,7,13,13,0,0,0,92,7,21,25.0,169fd162
Jordan Henderson,MF,Liverpool,31,3,0,0,23,7,3,56,23,20,0,0,0,228,18,13,58.1,935e6b8f
Jeff Hendrick,MF,Newcastle Utd,29,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,50.0,989d5705
Wayne Hennessey,GK,Burnley,34,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,100.0,76eca7e2
Rico Henry,DF,Brentford,24,2,0,0,20,27,1,74,26,20,0,1,0,189,27,40,40.3,8a3c1dc7
Son Heung-min,MFFW,Tottenham,29,2,0,0,14,36,17,192,13,6,2,0,0,144,16,35,31.4,92e7e919
Ki-Jana Hoever,DFMF,Wolves,19,1,0,0,5,4,1,8,6,6,0,0,0,13,3,2,60.0,9a71e978
Rob Holding,DF,Arsenal,25,4,1,1,9,3,0,0,10,9,0,0,0,49,28,22,56.0,d79a8c87
Mason Holgate,DF,Everton,24,7,1,0,26,15,0,4,26,18,0,0,1,105,61,31,66.3,d0042ab9
Callum Hudson-Odoi,MFFW,Chelsea,20,1,0,0,10,17,4,32,2,10,1,0,0,39,4,8,33.3,15f3ec41
Will Hughes,MF,Crystal Palace,26,6,0,0,18,17,0,35,8,14,1,1,0,84,11,20,35.5,a0666d3e
Pierre Højbjerg,MF,Tottenham,25,3,0,0,28,39,0,18,48,45,0,0,0,281,23,19,54.8,8b04d6c1
