Player,Pos,Squad,Age,SCA,-9999
Youssef Maleh,MF,Fiorentina,22,24,4c8845f7
Ruslan Malinovskyi,MFFW,Atalanta,28,103,48d5bd33
Rey Manaj,FW,Spezia,24,49,7703afb6
Gianluca Mancini,DF,Roma,25,40,5aa53281
Leonardo Mancuso,FW,Empoli,29,9,311027cb
Rolando Mandragora,MF,Torino,24,52,c7259b83
Kostas Manolas,DF,Napoli,30,1,c707411f
Riccardo Marchizza,DF,Empoli,23,22,91d0fabf
Gian Marco Ferrari,DF,Sassuolo,29,30,8650af85
Davide Marfella,GK,Napoli,21,0,880fcdbb
Pablo Marí,DF,Udinese,27,11,aa54ec6f
Răzvan Marin,MF,Cagliari,25,118,7fac99d4
Lautaro Martínez,FW,Inter,23,73,f7036e1c
Lucas Martínez Quarta,DF,Fiorentina,25,14,3ec3c1c9
Adam Marušić,DF,Lazio,28,27,d4535821
Andrea Masiello,DF,Genoa,35,2,e0314d87
Aleš Matějů,DF,Venezia,25,15,deb748c9
Borja Mayoral,FWDF,Roma,24,1,64e8ed6d
Pasquale Mazzocchi,DF,Venezia,26,11,eb0ec070
Pasquale Mazzocchi,DF,Salernitana,26,34,eb0ec070
Ibrahima Mbaye,DF,Bologna,26,0,cfbf9881
Weston McKennie,MF,Juventus,22,39,01c3aff5
Gary Medel,DF,Bologna,33,17,563a68ad
Filippo Melegoni,MFFW,Genoa,22,30,6604165d
Arthur Melo,MF,Juventus,24,17,48b3dd60
Alex Meret,GK,Napoli,24,0,9413b19f
Yıldırım Mert Çetin,MF,Hellas Verona,24,0,c730da00
Dries Mertens,FWMF,Napoli,34,69,89b2c8a9
Junior Messias,FWMF,Milan,30,53,f49c4ae9
Kingsley Michael,MF,Bologna,21,1,e63e122d
Valentin Mihaila,MFFW,Atalanta,21,1,81a4c239
Mikael,FWMF,Salernitana,22,1,33502726
Hilmir Mikaelsson,FW,Venezia,17,0,5add9b29
Nikola Milenković,DF,Fiorentina,23,17,bee704fc
Sergej Milinković-Savić,MF,Lazio,26,120,4e6dbac4
Vanja Milinković-Savić,GK,Torino,24,7,9fa26bc2
Aleksei Miranchuk,MFFW,Atalanta,25,41,a9aa0d1d
Fabio Miretti,MF,Juventus,17,11,34693494
Henrikh Mkhitaryan,MFFW,Roma,32,94,dd0daf32
Marco Modolo,DF,Venezia,32,1,fdcdb521
Nahuel Molina,DF,Udinese,23,91,23610943
Cristian Molinaro,DF,Venezia,38,14,1c8c5aed
Lorenzo Montipò,GK,Hellas Verona,25,3,c1d95617
Álvaro Morata,FW,Juventus,28,81,129af0db
Raúl Moro,FW,Lazio,18,10,919dd4b1
Andrei Motoc,DF,Salernitana,19,0,b64073a0
Lys Mousset,MFFW,Salernitana,25,5,d9cfca3d
Samuel Mráz,FW,Spezia,24,0,be6c1ccc
Mert Müldür,DF,Sassuolo,22,34,1295552e
Luis Muriel,FWMF,Atalanta,30,118,eb2fe5b6
Vedat Muriqi,FW,Lazio,27,5,0cadc46d
Nicola Murru,DF,Sampdoria,26,13,d183e9d6
Juan Musso,GK,Atalanta,27,3,a111cf41
Joakim Mæhle,DFMF,Atalanta,24,48,c459a650
Nahitan Nández,MFDF,Cagliari,25,54,95facda1
Nani,MFFW,Venezia,34,10,15e9c7e6
Matija Nastasić,DF,Fiorentina,28,1,f35430a4
Ilija Nestorovski,FW,Udinese,31,4,b1236c63
Aurélien Nguiamba,MF,Spezia,22,3,de135234
Dimitris Nikolaou,DF,Spezia,22,15,cf961d8d
Jean-Pierre Nsame,FW,Venezia,28,7,12e6d21a
Bram Nuytinck,DF,Udinese,31,10,e33f36d5
Simeon Nwankwo,FW,Salernitana,29,18,80dbbd10
M'Bala Nzola,FW,Spezia,24,22,a4948e67
Adam Obert,DFMF,Cagliari,18,0,aa25ce92
Joel Obi,MFDF,Salernitana,30,21,614c38fb
Brian Oddei,FW,Sassuolo,18,1,97e8ea97
Álvaro Odriozola,DF,Fiorentina,25,55,1d1691ad
Stefano Okaka,FW,Udinese,31,2,601ef102
David Okereke,FWMF,Venezia,23,43,d125f22f
Christian Oliva,MF,Cagliari,25,0,d3b888e3
Sérgio Oliveira,MF,Roma,29,31,947e036f
Riccardo Orsolini,FWMF,Bologna,24,57,e14ec482
Victor Osimhen,FW,Napoli,22,60,8c90fd7a
David Ospina,GK,Napoli,32,6,82b1198a
Adam Ounas,MFFW,Napoli,24,30,ed90babd
Daniele Padelli,GK,Udinese,35,0,cf1c23d8
Simone Pafundi,FW,Udinese,15,1,8daee720
Martin Palumbo,FW,Juventus,19,0,f8d41a8c
Goran Pandev,FWMF,Genoa,38,20,d711d04f
Ivor Pandur,GK,Hellas Verona,21,0,457cb02f
Fabiano Parisi,DF,Empoli,20,34,0967845b
Mario Pašalić,MFFW,Atalanta,26,70,e599253a
Patric,DF,Lazio,28,13,f7223718
Rui Patrício,GK,Roma,33,3,79b0d6a0
Leonardo Pavoletti,FW,Cagliari,32,28,d37b0350
Pedro,FW,Lazio,34,64,3ca7254a
João Pedro,FW,Cagliari,29,90,81255c03
Gianluca Pegolo,GK,Sassuolo,40,0,f058ed1f
Pietro Pellegri,FW,Torino,20,2,a44d3a3c
Pietro Pellegri,FW,Milan,20,5,a44d3a3c
Lorenzo Pellegrini,MF,Roma,25,139,4a5a45c7
Luca Pellegrini,DF,Juventus,22,30,3b61c9ec
Federico Peluso,DF,Sassuolo,37,0,4f2908e5
Gastón Pereiro,FWMF,Cagliari,26,42,7ec7738e
Dor Peretz,MF,Venezia,26,8,e2a302a8
Roberto Pereyra,MFFW,Udinese,30,58,75f2c59f
Carles Pérez,MFFW,Roma,23,38,a8f21b9f
Nehuén Pérez,DF,Udinese,21,17,f7c491f1
Mattia Perin,GK,Juventus,28,0,4c62d0c8
Ivan Perišić,DF,Inter,32,117,6fe90922
Diego Perotti,MFFW,Salernitana,33,9,a40d5a0c
Mario Perrone,DF,Salernitana,18,0,6cd33e2a
Matteo Pessina,MFFW,Atalanta,24,46,780e3631
Andrea Petagna,FW,Napoli,26,14,03f946ed
Giuseppe Pezzella,DFMF,Atalanta,23,12,149c5f5d
Krzysztof Piątek,FW,Fiorentina,26,14,17f3620a
Roberto Piccoli,FW,Genoa,20,4,1cadaf34
Roberto Piccoli,FW,Atalanta,20,5,1cadaf34
Andrea Pinamonti,FW,Empoli,22,72,08aa9cd1
Carlo Pinsoglio,GK,Juventus,31,0,f6a06749
Riccardo Pinzi,FW,Udinese,17,0,5dafcdce
Marko Pjaca,MF,Torino,26,43,2c38b327
Tommaso Pobega,MF,Torino,22,63,55a1cac2
Suf Podgoreanu,FW,Spezia,19,4,d697a2d0
Matteo Politano,FW,Napoli,27,73,5e861944
Manolo Portanova,FWMF,Genoa,21,29,c8c0dccd
Dennis Praet,MF,Torino,27,50,86695068
Mateusz Praszelik,MF,Hellas Verona,20,1,ec6773f5
Ivan Provedel,GK,Spezia,27,2,277da414
Erick Pulgar,MF,Fiorentina,27,11,4611e028
Ignacio Pussetto,FWMF,Udinese,25,37,62437b4f
Niklas Pyyhtiä,MF,Bologna,17,1,88f53b75
Fabio Quagliarella,FW,Sampdoria,38,49,ee4f2f3b
Adrien Rabiot,MF,Juventus,26,45,8794e251
Ivan Radovanović,DFMF,Salernitana,32,14,023937a9
Ionuț Radu,GK,Inter,24,0,67f649be
Ștefan Radu,DF,Lazio,34,2,53de807a
Boris Radunović,GK,Cagliari,25,0,0dfce079
Antonio Raimondo,FW,Bologna,17,1,ce1a6c7e
Aaron Ramsey,MF,Juventus,30,3,ef619b0b
Luca Ranieri,DF,Salernitana,22,25,8c63fae5
Andrea Ranocchia,DF,Inter,33,4,539230cf
Giacomo Raspadori,MFFW,Sassuolo,21,103,6e058f06
Nicola Ravaglia,GK,Sampdoria,32,0,d7a35008
Ante Rebić,FW,Milan,27,51,536cebe5
Arkadiusz Reca,DF,Spezia,26,29,6213fd82
Pepe Reina,GK,Lazio,38,2,e358587b
Panagiotis Retsos,DF,Hellas Verona,22,1,4bd00a50
Bryan Reynolds,DF,Roma,20,0,2306bf5c
Franck Ribéry,MFFW,Salernitana,38,63,f61c7c4e
Samuele Ricci,MF,Torino,19,14,9823be92
Samuele Ricci,MF,Empoli,19,27,9823be92
Tomás Rincón,MF,Torino,33,3,f1cfc209
Tomás Rincón,MF,Sampdoria,33,13,f1cfc209
Ricardo Rodríguez,DF,Torino,28,43,7f78ad23
Marko Rog,MF,Cagliari,26,18,b6b2b820
Rogério,DF,Sassuolo,23,51,10e7f486
Alessio Romagnoli,DF,Milan,26,12,3ead85f9
Simone Romagnoli,DF,Empoli,31,11,09899de8
Luka Romero,FW,Lazio,16,2,ca6edaa0
Sergio Romero,GK,Venezia,34,5,1e26e376
